GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US41005,41005,"Clackamas County, Oregon",145004,1070,100759,1420,44245,1282
0500000US41051,41051,"Multnomah County, Oregon",303654,1375,166200,1666,137454,1936
0500000US41067,41067,"Washington County, Oregon",200160,1056,123442,1486,76718,1495
