GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Owner occupied,Margin of Error; Total: - Owner occupied,Estimate; Total: - Renter occupied,Margin of Error; Total: - Renter occupied
0500000US41005,41005,"Clackamas County, Oregon",146527,937,100826,1307,45701,1331
0500000US41051,41051,"Multnomah County, Oregon",305939,1489,165713,1967,140226,1836
0500000US41067,41067,"Washington County, Oregon",201771,975,122999,1385,78772,1306
