GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied,Margin of Error; Owner occupied,Estimate; Renter occupied,Margin of Error; Renter occupied
0500000US41005,41005,"Clackamas County, Oregon",140370,916,100239,1036,40131,936
0500000US41051,41051,"Multnomah County, Oregon",290080,1408,164750,1641,125330,1709
0500000US41067,41067,"Washington County, Oregon",191390,1240,120919,1591,70471,1474
